ref_num,area,city,district,Mukatat,date,property_classification,property_type,number_of_properties,price,space,Price_per_square_meter
18923823,منطقة مكة المكرمة,مكة المكرمة,ربوة المطلات,1/7/90/1,1/1/2023,سكني,قطعة أرض,1,3488898,830.69,4200.0
18923762,منطقة مكة المكرمة,مكة المكرمة,ربوة المطلات,1/7/90/1,1/1/2023,سكني,قطعة أرض,1,3288768,783.04,4200.0
18924057,منطقة مكة المكرمة,مكة المكرمة,ربوة المطلات,1/7/90/1,1/1/2023,سكني,قطعة أرض,1,3337362,794.61,4200.0
18923568,منطقة مكة المكرمة,مكة المكرمة,ربوة المطلات,1/7/90/1,1/1/2023,سكني,قطعة أرض,1,3337362,794.61,4200.0
18923545,منطقة مكة المكرمة,مكة المكرمة,ربوة المطلات,1/7/90/1,1/1/2023,سكني,قطعة أرض,1,3337362,794.61,4200.0
18923522,منطقة مكة المكرمة,مكة المكرمة,ربوة المطلات,1/7/90/1,1/1/2023,سكني,قطعة أرض,1,3337362,794.61,4200.0
18923509,منطقة مكة المكرمة,مكة المكرمة,ربوة المطلات,1/7/90/1,1/1/2023,سكني,قطعة أرض,1,3024000,720.0,4200.0
18923424,منطقة مكة المكرمة,مكة المكرمة,ربوة المطلات,1/7/90/1,1/1/2023,سكني,قطعة أرض,1,3024000,720.0,4200.0
18923401,منطقة مكة المكرمة,مكة المكرمة,ربوة المطلات,1/7/90/1,1/1/2023,سكني,قطعة أرض,1,3192000,760.0,4200.0
18923357,منطقة مكة المكرمة,مكة المكرمة,ربوة المطلات,1/7/90/1,1/1/2023,سكني,قطعة أرض,1,3488184,830.52,4200.0
18891715,منطقة مكة المكرمة,مكة المكرمة,حي/أخرى,1/20/18/أ,1/1/2023,سكني,قطعة أرض,1,1690000,498.0,3393.5742
